,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
24,0.00272,0.471,0.5782081156919916,0.927,0.537,0.115,1.0,0.0495,0.4070729394231909
25,0.176,0.661,0.46482281184082175,0.528,0.000107,0.092,0.0,0.0354,0.6350827279039442
26,0.26,0.473,0.3915790082435522,0.849,0.0,0.103,0.0,0.052,0.33674575352673203
27,0.153,0.596,0.3943754277484375,0.881,0.0,0.16,0.0,0.119,0.6225253602939932
28,0.683,0.849,0.4853528640071929,0.489,1.91e-05,0.108,1.0,0.0509,0.4825526257853647
29,0.492,0.829,0.41062060167839376,0.512,0.0,0.12,0.0,0.187,0.34086521363613265
30,0.13,0.67,0.46691927901089136,0.418,0.0,0.353,1.0,0.0272,0.43157377771003747
31,0.929,0.32,0.425447686062836,0.127,0.813,0.25,0.0,0.0366,0.6115725922538908
32,0.831,0.227,0.4658147826549539,0.0666,0.392,0.083,0.0,0.0403,0.349574082541618
33,0.899,0.358,0.42893852199603044,0.167,0.96,0.103,0.0,0.0354,0.6120383071686226
34,0.000443,0.642,0.5121920824452331,0.695,1.02e-05,0.0753,1.0,0.0281,0.4402445426679537
35,0.0303,0.839,0.4231758832124519,0.525,0.0,0.302,1.0,0.131,0.5757760503988213
36,0.0908,0.512,0.4873249183234021,0.748,0.0,0.204,1.0,0.0376,0.6096589273315381
37,0.00213,0.587,0.5042338284232581,0.744,0.00181,0.114,0.0,0.0742,0.5036579789666209
38,0.809,0.643,0.4518560547567043,0.458,0.00015,0.237,1.0,0.0875,0.6950160036579789
39,0.686,0.612,0.4977128511107902,0.362,0.0,0.111,1.0,0.0307,0.5929101254890007
40,0.157,0.522,0.4956910608546621,0.624,0.00598,0.253,0.0,0.0323,0.5524098629951396
41,0.51,0.777,0.4284362805977857,0.597,0.0,0.107,1.0,0.0496,0.5667073108774069
42,0.000268,0.439,0.4944032780209793,0.903,0.0,0.249,0.0,0.0692,0.6645921184101339
43,0.438,0.504,0.5203705260508684,0.267,0.0,0.141,0.0,0.406,0.35549289573066434
44,0.134,0.479,0.6049316028349367,0.476,0.424,0.094,1.0,0.0511,0.5084717776761672
45,0.818,0.544,0.475950489232039,0.342,0.0744,0.131,1.0,0.0321,0.5591669630307033
