track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Not Angry,Chris James,0.646,0.853,199687.0,0.314,0.000211,5.0,0.107,-12.418,0.0,0.065,123.974,4.0
Not Around,Low Roar,0.674,0.378,315636.0,0.242,0.537,2.0,0.0864,-16.962,1.0,0.0317,158.085,3.0
Not Into You,Brooksie,0.221,0.641,157800.0,0.678,0.573,3.0,0.279,-4.943,1.0,0.0355,100.035,4.0
Not Ok - Frank Walker Remix,Kygo,0.0337,0.679,183934.0,0.866,0.0,2.0,0.0688,-3.754,1.0,0.0566,121.927,4.0
Not Sad Anymore,Clara Mae,0.761,0.675,195564.0,0.523,3.17e-06,1.0,0.109,-7.598,1.0,0.0444,94.025,4.0
Not Today,Unlike Pluto,0.195,0.61,181538.0,0.688,0.0,6.0,0.0833,-6.283,0.0,0.0559,156.138,4.0
Nothing,Bruno Major,0.931,0.555,162797.0,0.27,0.544,2.0,0.103,-15.892,1.0,0.0888,139.681,3.0
Nothing Comes Close,Craig Reever,0.16,0.611,180036.0,0.801,0.0,7.0,0.0942,-4.435,0.0,0.0777,171.906,4.0
Nothing Else Matters - Jungle Cruise Version Part 1,James Newton Howard,0.873,0.439,86907.0,0.278,0.929,4.0,0.116,-20.265,0.0,0.0303,150.176,3.0
Nothing Ever Changes,Nico Collins,0.183,0.585,204504.0,0.866,0.0,9.0,0.117,-3.744,0.0,0.0659,91.896,4.0
Nothing Ever Changes - Acoustic,Nico Collins,0.521,0.59,201212.0,0.584,0.0,9.0,0.15,-4.009,0.0,0.0459,91.954,4.0
Nothing's Gonna Change My Love For You,Shania Yan,0.899,0.641,199939.0,0.314,0.0,6.0,0.0704,-13.316,1.0,0.0894,135.795,4.0
Nothing's the Same,Alexander 23,0.492,0.736,175135.0,0.308,0.00248,11.0,0.179,-11.543,1.0,0.0421,132.767,4.0
Notion,The Rare Occasions,0.0673,0.309,195121.0,0.883,0.00111,9.0,0.0849,-3.825,1.0,0.0808,159.488,4.0
Nova Scotia 500,Boyscott,0.0532,0.604,192542.0,0.768,0.721,6.0,0.36,-4.515,0.0,0.0294,135.091,4.0
Now,Landon Austin,0.732,0.589,216585.0,0.271,0.0,8.0,0.0902,-10.835,1.0,0.0341,122.946,4.0
Now Or Never,Halsey,0.107,0.67,214802.0,0.585,1.11e-06,6.0,0.131,-4.861,0.0,0.0354,110.03,4.0
Now Or Never,High School Musical Cast,0.112,0.747,270733.0,0.983,0.0,5.0,0.706,-3.883,0.0,0.181,114.993,4.0
Now That You're Gone,Lewis Ross,0.911,0.385,281253.0,0.076,0.000241,2.0,0.104,-14.826,1.0,0.0322,98.527,4.0
Ntr\mssion,Linkin Park,0.994,0.45,29400.0,0.0585,0.969,4.0,0.669,-25.115,1.0,0.154,206.529,4.0
Nuance,Alec Benjamin,0.682,0.61,172854.0,0.54,0.0,6.0,0.117,-6.032,1.0,0.0459,95.062,4.0
Numb,Arc North,0.0144,0.659,130677.0,0.838,0.0,6.0,0.13,-2.79,0.0,0.136,123.95,4.0
Numb,Linkin Park,0.0046,0.496,185587.0,0.863,0.0,9.0,0.639,-4.153,1.0,0.0381,110.018,4.0
Numb / Encore,JAY-Z,0.0603,0.687,205733.0,0.793,0.0,2.0,0.582,-4.254,1.0,0.166,107.045,4.0
Numb Little Bug,Em Beihold,0.327,0.742,169238.0,0.527,0.0,8.0,0.25,-6.892,0.0,0.0769,84.974,4.0
Nutshell,Alice In Chains,0.373,0.384,259200.0,0.561,0.253,3.0,0.0775,-10.059,0.0,0.0296,136.136,3.0
O Jaana,Raju Singh,0.0565,0.708,269720.0,0.826,0.0104,2.0,0.27,-5.942,0.0,0.0426,94.022,4.0
O O Jaane Jaana,Kamaal Khan,0.122,0.781,345240.0,0.766,0.000104,7.0,0.121,-8.728,1.0,0.0564,106.193,4.0
O Re Piya,Salim–Sulaiman,0.779,0.586,379768.0,0.532,0.000565,11.0,0.124,-8.837,0.0,0.0328,99.994,4.0
O'Meri Laila,Atif Aslam,,,,,,,,,,,,
OBELISK,STAYSOLD,0.0428,0.629,162833.0,0.558,0.834,1.0,0.155,-7.422,1.0,0.274,119.991,4.0
ODIUM,LXST CXNTURY,0.163,0.708,166579.0,0.781,0.885,11.0,0.392,-8.267,0.0,0.0638,74.997,4.0
OH NO!,Cody Lovaas,0.206,0.722,171186.0,0.398,1.39e-06,7.0,0.207,-5.465,0.0,0.0857,82.986,4.0
OK Not To Be OK,Marshmello,0.0172,0.743,159863.0,0.837,0.0,1.0,0.0743,-5.025,0.0,0.0649,103.072,4.0
OLIVIA,Softwilly,0.119,0.55,143587.0,0.88,0.0,8.0,0.109,-4.659,1.0,0.0368,160.509,4.0
OMEN,ZODIVK,0.000493,0.711,114031.0,0.867,0.603,0.0,0.211,-5.749,1.0,0.246,119.973,4.0
ONE PUNCH,Aries,0.131,0.643,145371.0,0.617,0.0,4.0,0.258,-5.217,1.0,0.0405,87.502,4.0
OUT OF NOTHING,HXVRMXN,0.0146,0.631,155897.0,0.867,0.011,11.0,0.41,-2.441,0.0,0.234,167.969,4.0
OUT WEST (feat. Young Thug),JACKBOYS,0.0104,0.802,157712.0,0.591,0.0,8.0,0.196,-4.895,1.0,0.225,139.864,4.0
OVERDO$E,Pharmacist,0.000711,0.707,181604.0,0.772,0.924,0.0,0.194,-3.273,1.0,0.109,150.028,4.0
"Obito's Death (From ""Naruto Shippuden"")",daigoro789,,,,,,,,,,,,
Obliterate,Yvetzal,0.0192,0.789,132046.0,0.937,0.155,11.0,0.301,-2.038,1.0,0.133,135.042,4.0
Oblivion,M83,0.00317,0.399,356674.0,0.612,0.33,4.0,0.127,-7.814,0.0,0.0358,128.167,4.0
Oblivion,Rufi-O,0.975,0.714,152920.0,0.131,0.904,5.0,0.354,-21.958,1.0,0.0556,113.032,4.0
Obnimi (Remix),Okean Elzi,0.199,0.714,229671.0,0.845,0.00762,7.0,0.372,-4.234,0.0,0.0856,75.985,4.0
Obvious Bicycle,Vampire Weekend,0.417,0.661,251253.0,0.282,0.000156,9.0,0.227,-12.489,1.0,0.0542,89.997,4.0
Ocean,Alok,0.197,0.655,174002.0,0.684,0.0036,0.0,0.278,-5.18,1.0,0.0269,110.037,4.0
Oceans (Where Feet May Fail),Hillsong UNITED,0.508,0.262,535963.0,0.361,0.00268,2.0,0.108,-10.187,1.0,0.0333,126.786,4.0
Oceansplash,Living Room,0.939,0.684,123429.0,0.177,0.913,0.0,0.119,-18.859,1.0,0.0693,139.912,4.0
October Baby,Sean Kennedy,0.0123,0.33,244302.0,0.523,0.0117,6.0,0.265,-9.854,1.0,0.0325,180.088,4.0
Odyssey,Johnny Harris,0.034,0.686,343441.0,0.934,0.857,7.0,0.444,-6.597,1.0,0.0508,110.544,4.0
Off,Jake Scott,0.424,0.659,165604.0,0.29,0.0,6.0,0.118,-11.773,1.0,0.187,187.679,4.0
Offo,Aditi Singh Sharma,0.0158,0.799,213942.0,0.609,0.0,3.0,0.0642,-6.729,1.0,0.0448,130.031,4.0
Offshore,Atlis,0.945,0.529,125053.0,0.199,0.834,3.0,0.381,-22.807,1.0,0.0321,95.048,4.0
Oh Caroline,The 1975,0.363,0.646,212568.0,0.85,4.01e-05,2.0,0.0994,-5.466,1.0,0.0428,96.538,4.0
Oh Girl You're Mine .,Tarun Sagar,0.472,0.875,235706.0,0.625,0.0153,1.0,0.0464,-7.28,1.0,0.0495,111.034,4.0
Oh Ho Ho Ho (Remix),Sukhbir,0.00917,0.676,244417.0,0.935,0.0,5.0,0.097,-3.499,0.0,0.0892,144.944,4.0
Oh Ms Believer,Twenty One Pilots,0.612,0.501,217000.0,0.328,0.0,0.0,0.15,-8.329,1.0,0.0255,73.326,4.0
Oh My God,Alec Benjamin,0.652,0.696,187728.0,0.565,2.12e-06,5.0,0.121,-7.241,0.0,0.0598,156.109,4.0
Oh Nah Yeah,CHAII,0.0746,0.707,130083.0,0.825,0.246,3.0,0.257,-7.593,0.0,0.141,123.974,4.0
Oh shit…are we in love?,Valley,0.0576,0.697,155385.0,0.515,1.81e-06,6.0,0.294,-6.335,1.0,0.0502,95.086,4.0
Oh! Student and Teacher Affection,Kato,0.996,0.718,53442.0,0.00492,0.973,11.0,0.0867,-31.414,0.0,0.114,36.729,4.0
Oh! Student and Teacher Affection Piano,Kato,0.991,0.79,54960.0,0.00885,0.945,2.0,0.106,-28.05,1.0,0.0724,110.027,5.0
Old Downtown,Camp Claude,0.211,0.676,169907.0,0.449,0.00475,1.0,0.129,-7.058,0.0,0.0399,87.937,4.0
Old Insecurities,Winona Oak,0.725,0.384,201747.0,0.513,2.92e-05,11.0,0.131,-8.664,0.0,0.0567,104.878,4.0
Old Me,5 Seconds of Summer,0.313,0.722,186786.0,0.62,0.0,0.0,0.26,-3.639,1.0,0.0483,127.978,4.0
Old Town Road,Lil Nas X,0.0533,0.878,157067.0,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0
Old Town Road - Remix,Lil Nas X,0.0533,0.878,157067.0,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0
