track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
"""Honest""",Nico Collins,0.0162,0.476,191948.0,0.799,0.0,4.0,0.257,-4.939,0.0,0.212,162.139,4.0
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,0.916,0.475,150827.0,0.13,0.956,7.0,0.101,-17.719,1.0,0.051,112.241,4.0
#BrooklynBloodPop!,SyKo,0.0164,0.691,145611.0,0.814,0.0,1.0,0.366,-3.788,0.0,0.117,132.012,4.0
$10,Good Morning,0.475,0.624,89509.0,0.596,0.203,4.0,0.119,-9.804,1.0,0.0314,120.969,4.0
(I Just) Died In Your Arms,Cutting Crew,0.0158,0.625,280400.0,0.726,0.000169,11.0,0.0625,-11.402,0.0,0.0444,124.945,4.0
(L)only Child,salem ilese,0.29,0.645,144468.0,0.611,2.05e-05,8.0,0.237,-5.925,0.0,0.137,157.475,3.0
(lol),Eren Cannata,0.000708,0.663,217627.0,0.904,0.289,7.0,0.341,-4.71,1.0,0.0857,118.024,4.0
-Interlude-,NF,,,,,,,,,,,,
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.124,0.792,168490.0,0.511,9.04e-05,2.0,0.14,-6.876,1.0,0.0409,113.983,4.0
...Baby One More Time,Britney Spears,0.202,0.759,211067.0,0.699,0.000131,0.0,0.443,-5.745,0.0,0.0307,92.96,4.0
0 to 100,Sidhu Moose Wala,0.139,0.742,108493.0,0.675,0.0,8.0,0.167,-6.551,1.0,0.0907,145.989,4.0
01:22,colours in the dark,0.967,0.62,129160.0,0.122,0.963,2.0,0.0726,-19.47,0.0,0.0428,72.019,3.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.153,0.654,167693.0,0.63,0.0,10.0,0.111,-4.644,1.0,0.0259,89.991,4.0
11:23,mj apanay,0.899,0.611,58018.0,0.256,0.00497,8.0,0.125,-11.29,1.0,0.0733,123.535,4.0
12 Hours,Chris James,0.497,0.83,133125.0,0.414,0.0,3.0,0.187,-7.387,1.0,0.148,87.99,4.0
120,OQTAN,0.0243,0.806,115125.0,0.945,0.837,8.0,0.267,-1.382,1.0,0.0486,119.992,4.0
12:45 - Stripped,Etham,0.634,0.459,179013.0,0.214,0.0,5.0,0.125,-10.66,1.0,0.0403,163.816,4.0
13 Missed Calls,Zach Hood,0.452,0.639,209538.0,0.724,0.0,7.0,0.159,-6.346,1.0,0.0664,129.712,3.0
143,Josh Golden,0.413,0.652,187885.0,0.713,0.0048,6.0,0.265,-8.331,0.0,0.105,156.031,4.0
17 (slowed + reverb),Shiloh Dynasty,0.373,0.78,209493.0,0.24,0.0141,11.0,0.452,-12.996,1.0,0.0711,140.502,4.0
18,Jeremy Zucker,0.0445,0.783,150773.0,0.599,0.0,4.0,0.108,-5.688,1.0,0.0441,113.97,4.0
1917,Thomas Newman,0.945,0.0814,77413.0,0.0155,0.915,7.0,0.0923,-33.085,0.0,0.044,171.075,1.0
1984,glaive,0.0125,0.665,150222.0,0.746,0.0,9.0,0.148,-2.98,1.0,0.044,134.999,4.0
1985,Bo Burnham,0.0432,0.646,146654.0,0.724,0.0,4.0,0.333,-7.466,0.0,0.0475,155.85,4.0
1992,Bruises,0.00173,0.579,188000.0,0.851,0.0533,5.0,0.219,-7.261,1.0,0.0278,120.01,4.0
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,0.00272,0.471,346040.0,0.927,0.537,1.0,0.115,-5.76,1.0,0.0495,96.149,4.0
2 AM,Marco Luka,0.176,0.661,172800.0,0.528,0.000107,5.0,0.092,-9.347,0.0,0.0354,150.004,4.0
2009,glaive,0.26,0.473,110339.0,0.849,0.0,5.0,0.103,-2.434,0.0,0.052,79.538,4.0
2019,Bazanji,0.153,0.596,112245.0,0.881,0.0,11.0,0.16,-5.228,0.0,0.119,147.038,4.0
2021,Lauv,0.683,0.849,195952.0,0.489,1.91e-05,0.0,0.108,-7.433,1.0,0.0509,113.977,4.0
2055,Sleepy Hallow,0.492,0.829,123987.0,0.512,0.0,6.0,0.12,-5.865,0.0,0.187,80.511,4.0
20s,Comfort Club,0.13,0.67,175033.0,0.418,0.0,5.0,0.353,-7.74,1.0,0.0272,101.936,4.0
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,0.929,0.32,135773.0,0.127,0.813,7.0,0.25,-15.953,0.0,0.0366,144.451,3.0
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,0.831,0.227,173853.0,0.0666,0.392,7.0,0.083,-21.772,0.0,0.0403,82.568,4.0
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,0.899,0.358,138707.0,0.167,0.96,7.0,0.103,-16.0,0.0,0.0354,144.561,4.0
22,Taylor Swift,0.000443,0.642,230960.0,0.695,1.02e-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0
24,sundial,0.0303,0.839,133897.0,0.525,0.0,2.0,0.302,-4.873,1.0,0.131,135.996,4.0
24 Hours,Alexander Stewart,0.0908,0.512,198333.0,0.748,0.0,10.0,0.204,-7.338,1.0,0.0376,143.999,4.0
24/7,The Neighbourhood,0.00213,0.587,219973.0,0.744,0.00181,7.0,0.114,-4.611,0.0,0.0742,118.962,4.0
26,Lauv,0.809,0.643,159608.0,0.458,0.00015,6.0,0.237,-8.636,1.0,0.0875,164.16,4.0
27,Loving Caliber,0.686,0.612,211361.0,0.362,0.0,0.0,0.111,-7.85,1.0,0.0307,140.043,4.0
27 Reasons,WILLIS,0.157,0.522,208760.0,0.624,0.00598,11.0,0.253,-8.359,0.0,0.0323,130.477,4.0
29,Chris James,0.51,0.777,138281.0,0.597,0.0,4.0,0.107,-5.125,1.0,0.0496,133.854,4.0
29,Run River North,0.000268,0.439,207120.0,0.903,0.0,7.0,0.249,-4.655,0.0,0.0692,156.974,4.0
2AM,SZA,0.438,0.504,242823.0,0.267,0.0,9.0,0.141,-13.678,0.0,0.406,83.966,4.0
2chijou,Hiroyuki Sawano,0.134,0.479,407573.0,0.476,0.424,5.0,0.094,-12.218,1.0,0.0511,120.099,4.0
2lovely,Griff Clawson,0.818,0.544,184987.0,0.342,0.0744,0.0,0.131,-11.686,1.0,0.0321,132.073,4.0
2much,Idkconundrum,,,,,,,,,,,,
2step,Ed Sheeran,0.169,0.763,153627.0,0.661,0.0,4.0,0.117,-5.592,0.0,0.056,95.002,4.0
2step (feat. Armaan Malik),Ed Sheeran,0.18,0.747,153124.0,0.667,0.0,4.0,0.146,-5.181,0.0,0.0566,95.0,4.0
2step (feat. Lil Baby),Ed Sheeran,0.138,0.693,163450.0,0.643,0.0,4.0,0.108,-5.867,0.0,0.0828,95.055,4.0
2z Don Corleon,Lil 2z,0.336,0.847,117943.0,0.444,0.0,8.0,0.0996,-10.167,0.0,0.492,115.042,4.0
3 Peg,Sharry Mann,0.14,0.69,204396.0,0.926,0.0,0.0,0.112,-0.223,0.0,0.253,167.927,4.0
"3,000 Miles From Home.",Ben Zaidi,0.5,0.713,158507.0,0.418,0.000655,2.0,0.119,-9.035,1.0,0.0519,84.041,4.0
"30,000 Feet",Ben Rector,0.694,0.555,256933.0,0.452,0.0,0.0,0.0595,-9.636,1.0,0.0554,179.921,4.0
30/90,Andrew Garfield,0.0146,0.466,262505.0,0.789,0.0,0.0,0.0637,-5.956,1.0,0.0663,175.772,4.0
3005,Childish Gambino,0.112,0.664,234215.0,0.447,0.0,6.0,0.091,-7.272,0.0,0.289,83.138,4.0
3:15,Bazzi,0.385,0.651,167019.0,0.654,0.0,1.0,0.181,-5.481,1.0,0.0466,141.975,4.0
4am,girl in red,0.663,0.418,110862.0,0.392,0.335,9.0,0.204,-13.771,1.0,0.0383,168.902,4.0
4u,blackbear,0.392,0.776,158571.0,0.513,0.0,5.0,0.0642,-6.757,1.0,0.0872,153.934,4.0
5 Taara,Diljit Dosanjh,0.13,0.687,178421.0,0.855,0.0,4.0,0.311,-2.837,0.0,0.109,167.947,4.0
5 dollars,Christine and the Queens,0.424,0.726,208293.0,0.654,0.0,2.0,0.0668,-6.201,1.0,0.0423,129.013,4.0
"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",Arya Acharya,0.0593,0.521,4581483.0,0.837,1.28e-05,7.0,0.157,-4.501,1.0,0.0794,106.001,4.0
52-Hearts,Hikaru Station,0.714,0.285,316800.0,0.803,1.07e-05,1.0,0.0495,-6.128,1.0,0.158,95.806,4.0
5am in cairo,"oh, the joy.",0.936,0.751,177288.0,0.193,0.94,3.0,0.11,-15.902,1.0,0.0449,113.987,4.0
6 Underground,Sneaker Pimps,0.0281,0.587,228840.0,0.687,0.14,1.0,0.121,-8.635,0.0,0.0509,169.938,4.0
608,Carlie Hanson,0.673,0.614,204760.0,0.511,0.00176,11.0,0.339,-8.758,0.0,0.0294,148.024,3.0
6AM,Fly By Midnight,0.0318,0.637,190912.0,0.885,0.0,5.0,0.107,-4.522,1.0,0.0274,127.027,4.0
7 Minutes,Dean Lewis,0.526,0.613,211453.0,0.739,0.0,10.0,0.149,-6.478,1.0,0.0311,104.966,4.0
7 Years,Lukas Graham,0.287,0.765,237300.0,0.473,0.0,10.0,0.391,-5.829,1.0,0.0514,119.992,4.0
772 Love,YNW Melly,0.226,0.676,209489.0,0.623,1.66e-05,6.0,0.159,-7.297,0.0,0.0352,111.466,4.0
7UP,Boy In Space,0.0169,0.618,203555.0,0.47,0.0,0.0,0.111,-7.379,1.0,0.0271,135.034,4.0
8 Letters,Why Don't We,0.649,0.607,190027.0,0.478,0.0,1.0,0.0928,-5.702,0.0,0.031,88.979,4.0
85%,Loote,0.346,0.574,174107.0,0.651,0.0,7.0,0.149,-7.585,1.0,0.046,140.017,4.0
9 to 5,Young Ejecta,0.232,0.659,219258.0,0.834,0.55,8.0,0.236,-5.715,1.0,0.0387,116.048,4.0
90210 (feat. G-Eazy),blackbear,0.0306,0.707,223296.0,0.707,0.0,11.0,0.127,-6.161,0.0,0.0375,104.039,4.0
90mh,Albanos Xwris Xartia,,,,,,,,,,,,
90mh,Trefuego,,,,,,,,,,,,
911,Ellise,0.509,0.765,188387.0,0.53,4.15e-06,10.0,0.117,-7.18,0.0,0.0833,130.104,4.0
:( (sad face),Bahari,0.242,0.661,188182.0,0.552,0.0,8.0,0.0953,-8.015,0.0,0.0278,110.072,4.0
@ my worst,blackbear,0.0173,0.615,191364.0,0.774,0.0,4.0,0.15,-5.152,0.0,0.0551,136.887,4.0
A Better Place,Project AER,0.937,0.496,120000.0,0.255,0.845,9.0,0.0909,-17.984,1.0,0.0283,141.961,4.0
A Dangerous Thing,AURORA,0.465,0.541,215573.0,0.556,0.0,11.0,0.116,-6.15,0.0,0.0356,105.886,4.0
A Different Way (with Lauv),DJ Snake,0.495,0.784,198286.0,0.757,1.18e-06,8.0,0.142,-3.912,1.0,0.0384,104.996,4.0
A Drug From God,Chris Lake,0.00819,0.714,192455.0,0.883,0.843,9.0,0.231,-4.43,1.0,0.0625,126.016,4.0
A Gift Of A Thistle,James Horner,0.9,0.0828,97667.0,0.012,0.812,9.0,0.0875,-36.045,0.0,0.0451,169.895,3.0
A Little Bit Yours,JP Saxe,0.735,0.598,225680.0,0.295,0.0,1.0,0.107,-8.553,1.0,0.0276,87.025,4.0
A Little Braver,New Empire,0.771,0.497,206854.0,0.425,1.11e-05,2.0,0.109,-8.317,1.0,0.0325,148.074,4.0
A Little Longer,Sammieforreal,0.306,0.405,261346.0,0.273,0.448,4.0,0.217,-18.285,0.0,0.0515,79.91,4.0
A Little Messed Up,june,0.694,0.773,168000.0,0.528,0.0001,4.0,0.478,-7.876,0.0,0.0551,96.06,4.0
A Little More,Catie Turner,0.477,0.792,224528.0,0.484,0.0,4.0,0.106,-9.897,1.0,0.192,96.939,4.0
A Little Piece of Heaven,Avenged Sevenfold,0.0244,0.486,480707.0,0.881,0.0,2.0,0.429,-5.623,0.0,0.0474,144.997,4.0
A Million Dreams,Ziv Zaifman,0.243,0.265,269453.0,0.312,0.0,7.0,0.0893,-11.689,1.0,0.0569,54.747,3.0
A Million Dreams (Reprise),Austyn Johnson,0.726,0.253,60453.0,0.139,5.01e-05,6.0,0.269,-17.067,1.0,0.0414,74.369,3.0
A Moment Apart,ODESZA,0.179,0.515,234244.0,0.663,0.668,7.0,0.494,-7.896,0.0,0.0328,120.024,4.0
A New Beginning,Yasumu,0.771,0.695,143379.0,0.287,0.904,0.0,0.362,-14.608,1.0,0.0499,128.028,4.0
A Night to Remember,High School Musical Cast,0.0747,0.798,236400.0,0.904,6.62e-06,0.0,0.0522,-3.316,0.0,0.0476,135.008,4.0
A Night to Remember - Original Version,High School Musical Cast,0.0747,0.798,236400.0,0.904,6.62e-06,0.0,0.0522,-3.316,0.0,0.0476,135.008,4.0
A Place Among the Stars,Hans Zimmer,0.97,0.171,207118.0,0.0325,0.87,4.0,0.0756,-25.382,0.0,0.043,70.821,3.0
A Sky Full of Stars,Taron Egerton,0.152,0.44,206438.0,0.676,0.0201,6.0,0.108,-7.57,1.0,0.0582,125.013,4.0
A Soulmate Who Wasn’t Meant to Be,Jess Benko,0.948,0.571,316556.0,0.0274,6.43e-06,9.0,0.322,-20.274,0.0,0.0649,124.209,3.0
A wild river to take you home,Black Hill,0.825,0.458,229536.0,0.361,0.913,6.0,0.103,-12.066,0.0,0.0353,86.966,4.0
A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,0.00623,0.808,246584.0,0.519,0.136,5.0,0.119,-8.268,0.0,0.0403,114.977,4.0
A-Punk,Vampire Weekend,0.0103,0.551,137760.0,0.819,0.0437,2.0,0.153,-4.489,1.0,0.0525,174.917,4.0
A.S.A.G.,Ori Rose,0.0879,0.739,187317.0,0.625,0.0,8.0,0.251,-6.013,1.0,0.0382,122.976,4.0
AFTERLIFE,CYREX,0.314,0.692,196673.0,0.735,0.959,1.0,0.117,-8.691,1.0,0.0348,110.007,4.0
AGEN WIDA,JOYRYDE,0.0114,0.784,199048.0,0.913,0.00162,1.0,0.0831,-1.208,1.0,0.177,126.054,4.0
ALIEN SUPERSTAR,Beyoncé,0.00453,0.545,215460.0,0.641,6.59e-05,10.0,0.171,-6.398,0.0,0.0998,121.892,4.0
ALIENSPEAK (feat. Curtis Waters),Brevin Kim,,,,,,,,,,,,
ALL MINE,Brent Faiyaz,0.428,0.617,216063.0,0.378,9.16e-05,9.0,0.11,-8.54,1.0,0.0315,141.967,4.0
ALLERGIC,clide,0.538,0.609,155200.0,0.428,0.0,11.0,0.064,-7.796,1.0,0.0244,96.071,4.0
AMAZING,Rex Orange County,0.279,0.719,209200.0,0.461,0.0,8.0,0.0875,-8.191,1.0,0.0454,123.915,4.0
AMNESIA,Hikki Gaya,0.000974,0.605,131253.0,0.887,0.919,1.0,0.352,-2.298,1.0,0.0448,99.998,4.0
AMNESIA (feat. Boy In Space),DREAMDNVR,0.471,0.708,175827.0,0.42,0.0,9.0,0.353,-9.478,0.0,0.121,145.981,4.0
ANGOSTURA,keshi,0.406,0.536,171020.0,0.659,0.004,6.0,0.107,-9.732,1.0,0.0483,170.035,4.0
ANKLES,Jessie Reyez,0.234,0.514,169240.0,0.749,7.98e-05,8.0,0.19,-4.336,1.0,0.403,179.623,3.0
ANUBIS,KUTE,0.00142,0.627,131455.0,0.993,0.254,1.0,0.239,-1.304,1.0,0.0714,109.975,4.0
AVOID ME,KUTE,0.123,0.656,105789.0,0.964,0.813,6.0,0.78,-2.087,0.0,0.0964,114.007,4.0
AVOID ME 3,KUTE,0.11,0.706,120000.0,0.933,0.878,10.0,0.058,-0.096,1.0,0.0721,114.042,4.0
Aaftaab,The Local Train,0.755,0.464,233472.0,0.391,9.64e-05,6.0,0.105,-9.884,1.0,0.0384,106.887,4.0
Aag Lage Chahe Basti Mai,Sirazee,0.113,0.613,142410.0,0.551,0.0,9.0,0.266,-8.613,1.0,0.198,110.243,5.0
Aahe Neelasaila,Bhikhari Bala,0.654,0.328,313748.0,0.571,1.15e-05,1.0,0.27,-6.913,1.0,0.0395,186.602,1.0
"Aahun Aahun (From ""Love Aaj Kal"")",Master Saleem,,,,,,,,,,,,
Aaj Bhi,Vishal Mishra,0.886,0.581,241206.0,0.304,2.79e-05,1.0,0.103,-9.707,0.0,0.0274,109.006,4.0
Aaj Bhi (Lofi Flip),It's DPK,,,,,,,,,,,,
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,0.561,0.307,217976.0,0.265,0.000517,1.0,0.398,-14.701,0.0,0.0497,94.115,1.0
Aaja We Mahiya,Imran Khan,0.131,0.639,232067.0,0.594,0.0,10.0,0.119,-6.497,1.0,0.0347,80.034,4.0
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,0.858,0.556,309493.0,0.792,0.007,9.0,0.596,-10.683,1.0,0.0715,98.554,4.0
"Aankh Marey (From ""Simmba"")",Neha Kakkar,,,,,,,,,,,,
Aankhein Khuli,Jatin-Lalit,0.349,0.792,422713.0,0.635,5.92e-06,7.0,0.324,-13.94,0.0,0.0863,122.004,4.0
Aap Ki Kashish,Himesh Reshammiya,0.117,0.69,333653.0,0.78,0.0,8.0,0.0696,-7.412,0.0,0.0489,110.963,4.0
Aaron's Aria,Music Circle,,,,,,,,,,,,
Aasan Nahin Yahan,Arijit Singh,0.766,0.549,214470.0,0.437,0.000407,10.0,0.133,-7.169,0.0,0.0263,93.976,4.0
Aashayein,KK,0.232,0.561,260142.0,0.709,0.0,9.0,0.0992,-10.247,1.0,0.0484,115.006,4.0
Aashayein - Slow Version,KK,0.979,0.417,72292.0,0.134,9.61e-05,9.0,0.101,-12.096,1.0,0.0321,83.176,4.0
Aashiqui 2 Mashup,Arijit Singh,0.393,0.616,302658.0,0.757,0.00267,8.0,0.165,-5.877,0.0,0.0337,96.976,4.0
Aasman Ke,KK,0.0852,0.558,257280.0,0.746,0.000302,7.0,0.258,-6.338,0.0,0.0389,120.096,4.0
Ab Mujhe Raat Din,Sonu Nigam,0.161,0.68,385253.0,0.524,0.0015,5.0,0.101,-12.536,1.0,0.0306,100.054,4.0
Abhi Abhi,KK,0.145,0.566,342669.0,0.634,0.000716,2.0,0.0814,-5.551,1.0,0.0443,143.89,4.0
Abhi Mujh Mein Kahin,Ajay-Atul,0.755,0.334,364787.0,0.387,3.94e-05,2.0,0.113,-9.483,1.0,0.0332,129.959,1.0
Abhi Na Jao Chhod Kar,Asha Bhosle,0.79,0.569,258387.0,0.31,0.0,3.0,0.341,-13.287,1.0,0.0371,97.244,3.0
Abki Dussehra Me Mana Tu Baat,Uttam Singh,,,,,,,,,,,,
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,0.331,0.636,214107.0,0.758,1.01e-05,0.0,0.16,-5.567,1.0,0.0427,97.025,4.0
Actually I'm Good,Foreign Forest,0.568,0.727,252203.0,0.486,0.0,8.0,0.0889,-8.364,1.0,0.0325,118.038,4.0
Addict,Lund,0.1,0.577,174247.0,0.553,0.0,4.0,0.21,-7.648,0.0,0.0479,145.974,4.0
Adiyogi (The Source of Yoga),Kailash Kher,0.3,0.611,393220.0,0.512,0.000851,11.0,0.219,-12.533,0.0,0.0361,99.987,1.0
Admiral Benbow,Michiel Schrey,0.579,0.516,113973.0,0.482,0.0,7.0,0.307,-6.04,1.0,0.0421,170.178,4.0
Admit,Player1,0.428,0.574,189103.0,0.647,0.0,9.0,0.124,-6.497,0.0,0.0618,145.033,4.0
Adrenaline,Lauv,0.354,0.651,206368.0,0.688,2.57e-06,6.0,0.0741,-4.407,1.0,0.109,95.017,4.0
Adrift,Kurt Stewart,0.616,0.587,124174.0,0.0548,0.827,6.0,0.0999,-22.15,0.0,0.0345,109.905,4.0
Adult,Sasha Alex Sloan,0.174,0.607,184253.0,0.849,2.03e-05,8.0,0.0964,-6.389,1.0,0.0444,89.988,4.0
Ae Watan (Male),Arijit Singh,,,,,,,,,,,,
Affection,Fiji Blue,0.321,0.827,174211.0,0.49,0.000137,10.0,0.095,-8.37,0.0,0.055,113.002,4.0
Afghan Jalebi (Film Version),Pritam,0.427,0.84,224207.0,0.884,0.0,0.0,0.0885,-3.217,1.0,0.334,118.007,4.0
Afraid,The Neighbourhood,0.00892,0.464,251187.0,0.701,0.309,6.0,0.335,-5.693,0.0,0.0411,83.996,4.0
Afraid of Time,Hans Zimmer,0.92,0.245,152673.0,0.00336,0.0234,9.0,0.119,-38.793,0.0,0.0451,119.949,3.0
Africa,TOTO,0.257,0.671,295893.0,0.373,8.01e-05,9.0,0.0481,-18.064,1.0,0.0323,92.718,4.0
After All,Elton John,0.361,0.501,208715.0,0.556,0.000133,5.0,0.115,-5.628,1.0,0.0266,82.017,4.0
After Midnight,Slushii,0.0477,0.418,178519.0,0.965,3.88e-06,10.0,0.561,-2.417,0.0,0.163,139.759,4.0
After Rain,Aimer,0.00949,0.653,292760.0,0.783,0.0,10.0,0.0791,-3.859,1.0,0.0298,119.992,4.0
After the Love Has Gone,"Earth, Wind & Fire",0.532,0.424,278040.0,0.443,0.000389,6.0,0.673,-13.45,1.0,0.0382,131.675,4.0
Afterglow,Ed Sheeran,0.698,0.641,185487.0,0.324,0.0,11.0,0.328,-5.851,1.0,0.0299,110.184,4.0
Afterglow,Leroy Sanchez,0.823,0.659,186000.0,0.273,0.0,11.0,0.121,-6.352,1.0,0.0285,110.171,4.0
Afterlife,Ewan J Phillips,0.521,0.342,227778.0,0.279,0.00053,1.0,0.157,-11.252,1.0,0.0376,71.766,1.0
Again,Sasha Alex Sloan,0.778,0.62,194375.0,0.553,0.00191,2.0,0.0916,-10.228,0.0,0.0517,148.978,4.0
Again & Again,Fly By Midnight,0.188,0.728,169412.0,0.694,0.000876,1.0,0.149,-5.634,1.0,0.0645,101.985,4.0
Again to Goshintai,RADWIMPS,0.925,0.2,143253.0,0.318,0.894,5.0,0.114,-11.267,1.0,0.0449,119.593,4.0
Agar Tum Saath Ho,Alka Yagnik,0.743,0.654,261060.0,0.408,0.0145,3.0,0.278,-12.787,1.0,0.0695,95.957,4.0
Agent Vinod (Theme),Pritam,0.000223,0.658,277950.0,0.852,0.863,0.0,0.101,-3.07,1.0,0.044,140.024,4.0
Ain't Got Rhythm (Vocal),Phineas,,,,,,,,,,,,
Air Bnb,Central Cee,0.594,0.897,138121.0,0.728,0.0,0.0,0.0735,-5.833,0.0,0.167,139.895,4.0
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,0.674,0.157,301320.0,0.378,0.914,2.0,0.136,-14.792,1.0,0.0389,141.592,4.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.11,0.66,180480.0,0.867,0.0,6.0,0.0368,-4.285,0.0,0.116,93.033,4.0
Ajab Si,KK,0.397,0.697,241668.0,0.438,0.0,8.0,0.293,-8.411,1.0,0.0289,117.954,4.0
Ajnabi Hawaayein,Shreya Ghoshal,0.589,0.557,281658.0,0.58,0.000245,6.0,0.124,-6.566,0.0,0.0429,80.051,4.0
Akatsuki Theme - From Naruto Shippuden,Gabriele Motta,0.0562,0.451,131250.0,0.496,0.777,0.0,0.325,-12.905,0.0,0.0424,159.934,4.0
Akela Hoon,AMAN,0.943,0.508,224601.0,0.0901,0.000875,7.0,0.18,-22.456,1.0,0.0295,70.198,4.0
Akhiyaan,Mitraz,0.0533,0.724,191869.0,0.618,0.704,2.0,0.0886,-9.007,1.0,0.0534,100.021,4.0
Alfred - Intro,Eminem,0.887,0.764,17075.0,0.376,1.92e-06,1.0,0.375,-12.586,1.0,0.571,97.546,4.0
Alive,Audrey Mika,0.601,0.591,197224.0,0.335,0.0,9.0,0.0976,-8.331,0.0,0.0339,86.448,5.0
Alive,Empire of the Sun,0.0997,0.524,204591.0,0.885,0.0,5.0,0.0708,-3.079,1.0,0.037,119.954,4.0
Alive,Khalid,0.832,0.386,177413.0,0.406,0.0597,11.0,0.171,-10.419,1.0,0.0425,78.616,4.0
Alive,WILLIS,0.125,0.615,155136.0,0.373,0.876,6.0,0.184,-11.54,0.0,0.026,87.97,4.0
All 4 Nothing (I'm So In Love),Lauv,0.0411,0.72,183014.0,0.819,0.0,1.0,0.0606,-4.588,1.0,0.0362,131.99,4.0
All About That Bass,Meghan Trainor,0.0573,0.807,187920.0,0.887,2.87e-06,9.0,0.124,-3.726,1.0,0.0503,134.052,4.0
All Alone,Sølace,0.776,0.601,147000.0,0.556,0.0465,7.0,0.236,-10.722,0.0,0.395,80.003,4.0
All Around Me,Flyleaf,0.0216,0.473,198507.0,0.871,0.0,9.0,0.0525,-4.893,1.0,0.0456,146.975,4.0
All Around the World (La La La),R3HAB,0.479,0.733,147840.0,0.859,0.0645,9.0,0.105,-5.03,0.0,0.033,124.948,4.0
All Because of You,Stephen Day,0.797,0.426,238280.0,0.177,0.00615,7.0,0.113,-13.334,1.0,0.0346,118.155,4.0
All Black,Raftaar,0.072,0.813,218146.0,0.734,0.0,10.0,0.118,-5.464,0.0,0.0577,107.967,4.0
All Dressed up (Hot Mix),Jack Newsome,0.149,0.846,181279.0,0.628,0.0,1.0,0.0746,-5.319,1.0,0.0567,111.072,4.0
All Eyes On Me,Conro,0.0532,0.761,199286.0,0.644,0.00146,7.0,0.0838,-6.765,1.0,0.0409,111.993,4.0
All Eyes On Me,VALORANT,0.00202,0.732,160500.0,0.777,0.667,0.0,0.268,-5.253,1.0,0.111,160.061,4.0
All Eyes On Me (Song Only),Bo Burnham,0.716,0.247,212861.0,0.442,0.0,6.0,0.0655,-8.703,1.0,0.041,62.952,4.0
All I Ask of You (feat. Pennybirdrabbit),Skrillex,0.0173,0.774,340341.0,0.909,0.121,9.0,0.0739,-2.89,0.0,0.0365,126.977,4.0
All I Ever Wanted - Radio Edit,Basshunter,0.164,0.645,176453.0,0.984,0.00701,4.0,0.164,-7.051,1.0,0.0508,144.954,4.0
All I Have Is My Smile,LIL DUSTY G,0.0699,0.636,99200.0,0.808,0.0,0.0,0.153,-3.288,1.0,0.0534,75.013,4.0
All I Know So Far,P!nk,0.0586,0.578,277413.0,0.639,0.0,4.0,0.0944,-5.749,1.0,0.0374,108.045,4.0
All I Wanna Do,Jay Park,0.377,0.403,216786.0,0.724,0.0,8.0,0.0927,-6.064,1.0,0.246,97.133,4.0
All I Want,Kodaline,0.174,0.188,305747.0,0.411,0.153,0.0,0.0843,-9.733,1.0,0.0484,187.376,3.0
All In (feat. Jimmy Levy),NITTI,0.0938,0.288,234518.0,0.754,0.0,6.0,0.238,-3.376,0.0,0.0476,174.095,4.0
All Into Nothing,R3HAB,0.0421,0.571,161400.0,0.763,0.0,9.0,0.394,-6.66,1.0,0.05,99.955,4.0
All Is Fair in Love and Brostep,Skrillex,0.00112,0.581,249120.0,0.925,0.0,11.0,0.406,-3.213,1.0,0.151,139.982,4.0
All Is Full Of Love,Björk,0.0536,0.481,287000.0,0.49,0.123,6.0,0.0915,-10.098,1.0,0.0271,152.04,4.0
All Love,FLETCHER,0.272,0.665,193600.0,0.488,0.000261,4.0,0.181,-7.177,1.0,0.0981,142.087,4.0
All My Life,ODESZA,0.547,0.303,192267.0,0.68,0.929,9.0,0.872,-5.318,1.0,0.0731,118.581,3.0
All Night - Cash Cash Remix; Radio Edit,Icona Pop,0.0386,0.591,206250.0,0.864,0.0,4.0,0.139,-2.04,1.0,0.155,128.073,4.0
All Night - Slowed N Reverb,The Vamps,0.00527,0.607,244798.0,0.678,0.0,8.0,0.332,-7.045,0.0,0.0335,115.968,4.0
All Night Long,Jonas Blue,0.00887,0.572,206667.0,0.811,5.65e-06,6.0,0.124,-4.874,0.0,0.066,125.946,4.0
